PARAMETER	Apelsvoll winter  91/92 Gri	Fureneset winter  05/06 Gri	Holt  winter  05/06 Gri	Holt  winter  06/07 Gri	Kvithamar winter  06/07 Gri	Saerheim summer 00 Gri	Saerheim summer 01 Gri	Saerheim summer 02 Gri	Saerheim winter  05/20 Gri	Saerheim winter  06/07 Gri	Maaninka	Rovaniemi	Searheim TIMCOM	Quebec	Lacombe	Umea	Fredricton	Kungsangen	Lanna	Karlslund	Klevarp	Tonnersa
LOG10CLVI	1	1	1	1	1	1	1	1	1	1	1.239	1.239	1.239	1.239	1.239	1.239	1.239	1.239	1.239	1.239	1.239	1.239
LOG10CRESI	0	0	0	0	0	0	0	0	0	0	0.3749	0.3749	0.3749	0.3749	0.3749	0.3749	0.3749	0.3749	0.3749	0.3749	0.3749	0.3749
LOG10CRTI	1	1	1	1	1	1	1	1	1	1	0.2137	0.2137	0.2137	0.2137	0.2137	0.2137	0.2137	0.2137	0.2137	0.2137	0.2137	0.2137
CSTI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOG10LAII	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	-0.3189	-0.3189	-0.3189	-0.3189	-0.3189	-0.3189	-0.3189	-0.3189	-0.3189	-0.3189	-0.3189	-0.3189
PHENI	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
TILTOTI	800	800	800	800	800	800	800	800	800	800	2388	2388	2388	2388	2388	2388	2388	2388	2388	2388	2388	2388
FRTILGI	0	0	0	0	0	0	0	0	0	0	0.3993	0.3993	0.3993	0.3993	0.3993	0.3993	0.3993	0.3993	0.3993	0.3993	0.3993	0.3993
LT50I	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894
CLAIV	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5692	0.5692	0.5692	0.5692	0.5692	0.5692	0.5692	0.5692	0.5692	0.5692	0.5692	0.5692
COCRESMX	0.141155	0.141155	0.141155	0.141155	0.141155	0.141155	0.141155	0.141155	0.141155	0.141155	0.1451	0.1451	0.1451	0.1451	0.1451	0.1451	0.1451	0.1451	0.1451	0.1451	0.1451	0.1451
CSTAVM	0.229575	0.229575	0.229575	0.229575	0.229575	0.229575	0.229575	0.229575	0.229575	0.229575	1.112	1.112	1.112	1.112	1.112	1.112	1.112	1.112	1.112	1.112	1.112	1.112
DAYLB	0.539664	0.539664	0.539664	0.539664	0.539664	0.539664	0.539664	0.539664	0.539664	0.539664	0.5329	0.5329	0.5329	0.5329	0.5329	0.5329	0.5329	0.5329	0.5329	0.5329	0.5329	0.5329
DAYLP	0.632348	0.632348	0.632348	0.632348	0.632348	0.632348	0.632348	0.632348	0.632348	0.632348	0.7104	0.7104	0.7104	0.7104	0.7104	0.7104	0.7104	0.7104	0.7104	0.7104	0.7104	0.7104
DLMXGE	0.936974	0.936974	0.936974	0.936974	0.936974	0.936974	0.936974	0.936974	0.936974	0.936974	0.9849	0.9849	0.9849	0.9849	0.9849	0.9849	0.9849	0.9849	0.9849	0.9849	0.9849	0.9849
FSLAMIN	0.686948	0.686948	0.686948	0.686948	0.686948	0.686948	0.686948	0.686948	0.686948	0.686948	0.8619	0.8619	0.8619	0.8619	0.8619	0.8619	0.8619	0.8619	0.8619	0.8619	0.8619	0.8619
FSMAX	0.693	0.693	0.693	0.693	0.693	0.693	0.693	0.693	0.693	0.693	0.693	0.693	0.693	0.693	0.693	0.693	0.693	0.693	0.693	0.693	0.693	0.693
HAGERE	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8342	0.8342	0.8342	0.8342	0.8342	0.8342	0.8342	0.8342	0.8342	0.8342	0.8342	0.8342
K	0.607039	0.607039	0.607039	0.607039	0.607039	0.607039	0.607039	0.607039	0.607039	0.607039	0.4669	0.4669	0.4669	0.4669	0.4669	0.4669	0.4669	0.4669	0.4669	0.4669	0.4669	0.4669
LAICR	3.79569	3.79569	3.79569	3.79569	3.79569	3.79569	3.79569	3.79569	3.79569	3.79569	3.913	3.913	3.913	3.913	3.913	3.913	3.913	3.913	3.913	3.913	3.913	3.913
LAIEFT	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.1219	0.1219	0.1219	0.1219	0.1219	0.1219	0.1219	0.1219	0.1219	0.1219	0.1219	0.1219
LAITIL	0.566455	0.566455	0.566455	0.566455	0.566455	0.566455	0.566455	0.566455	0.566455	0.566455	0.9663	0.9663	0.9663	0.9663	0.9663	0.9663	0.9663	0.9663	0.9663	0.9663	0.9663	0.9663
LFWIDG	0.0085207	0.0085207	0.0085207	0.0085207	0.0085207	0.0085207	0.0085207	0.0085207	0.0085207	0.0085207	0.01042	0.01042	0.01042	0.01042	0.01042	0.01042	0.01042	0.01042	0.01042	0.01042	0.01042	0.01042
